--- Sismos Ordenados ---
ID,FechaUTC,Latitud,Longitud,ProfundidadKM,Magnitud
17,2025-12-05T17:35:20Z,12.34,145.67,18,6
26,2025-11-25T23:07:10Z,-29.78,31.12,65,6.3
19,2025-11-18T14:18:08Z,60.12,-147.45,110,7.1
10,2025-11-02T13:47:22Z,4.12,96.02,15,6.8
18,2025-10-22T05:00:00Z,-6.5,146.8,50,6.7
11,2025-10-15T22:08:11Z,-17.85,178.54,12,6.5
23,2025-09-30T09:12:55Z,16.67,-100.25,15,6.8
13,2025-09-09T11:55:33Z,18.54,-72.68,10,6.3
15,2025-08-28T20:10:59Z,3.25,101.67,22.4,6.9
24,2025-08-10T04:55:44Z,43.5,146.21,55,6.5
8,2025-07-30T18:25:00Z,52.08,159.65,25,8.8
21,2025-07-14T21:23:14Z,-8.76,115.14,25,6.2
22,2025-06-25T16:47:33Z,35.2,140.63,33,6.6
9,2025-06-12T03:14:45Z,38.74,142.35,30.2,7.4
12,2025-05-21T06:30:05Z,34.96,137.05,40,7
28,2025-05-09T19:39:22Z,41.26,-73.44,100,6
14,2025-04-14T02:16:47Z,-23.45,-70.45,60,6.1
27,2025-04-04T15:48:17Z,22.34,120.54,20,6.7
16,2025-03-30T08:44:12Z,51.1,179.15,35.5,7.2
25,2025-03-17T01:20:30Z,7.85,-79.22,10,6.9
20,2025-02-08T12:59:59Z,27.88,84.2,13,6.4
